Z,Element_Name,Ionization_eV
1,Hydrogen,13.598434599702
2,Helium,24.587389011
3,Lithium,5.391714996
4,Beryllium,9.322699
5,Boron,8.298019
6,Carbon,11.260288
7,Nitrogen,14.53413
8,Oxygen,13.618055
9,Fluorine,17.42282
10,Neon,21.564541
11,Sodium,5.13907696
12,Magnesium,7.646236
13,Aluminum,5.985769
14,Silicon,8.15168
15,Phosphorus,10.486686
16,Sulfur,10.3600167
17,Chlorine,12.967633
18,Argon,15.7596119
19,Potassium,4.34066373
20,Calcium,6.113154921
21,Scandium,6.56149
22,Titanium,6.82812
23,Vanadium,6.746187
24,Chromium,6.76651
25,Manganese,7.434038
26,Iron,7.9024681
27,Cobalt,7.88101
28,Nickel,7.639878
29,Copper,7.72638
30,Zinc,9.394197
31,Gallium,5.999302
32,Germanium,7.899435
33,Arsenic,9.78855
34,Selenium,9.752368
35,Bromine,11.81381
36,Krypton,13.9996055
37,Rubidium,4.1771281
38,Strontium,5.69486745
39,Yttrium,6.21726
40,Zirconium,6.634126
41,Niobium,6.75885
42,Molybdenum,7.09243
43,Technetium,7.11938
44,Ruthenium,7.3605
45,Rhodium,7.4589
46,Palladium,8.336839
47,Silver,7.576234
48,Cadmium,8.99382
49,Indium,5.7863558
50,Tin,7.343918
51,Antimony,8.608389
52,Tellurium,9.009808
53,Iodine,10.451236
54,Xenon,12.1298437
55,Cesium,3.89390572743
56,Barium,5.2116646
57,Lanthanum,5.5769
58,Cerium,5.5386
59,Praseodymium,5.4702
60,Neodymium,5.52475
61,Promethium,5.58187
62,Samarium,5.643722
63,Europium,5.670385
64,Gadolinium,6.1498
65,Terbium,5.8638
66,Dysprosium,5.939061
67,Holmium,6.0215
68,Erbium,6.1077
69,Thulium,6.184402
70,Ytterbium,6.25416
71,Lutetium,5.425871
72,Hafnium,6.82507
73,Tantalum,7.549571
74,Tungsten,7.86403
75,Rhenium,7.83352
76,Osmium,8.43823
77,Iridium,8.96702
78,Platinum,8.95883
79,Gold,9.225554
80,Mercury,10.437504
81,Thallium,6.1082873
82,Lead,7.4166799
83,Bismuth,7.285516
84,Polonium,8.41807
85,Astatine,9.31751
86,Radon,10.7485
87,Francium,4.0727411
88,Radium,5.2784239
89,Actinium,5.380235
90,Thorium,6.3067
91,Protactinium,5.89
92,Uranium,6.19405
93,Neptunium,6.265608
94,Plutonium,6.02576
95,Americium,5.97381
96,Curium,5.992241
97,Berkelium,6.19785
98,Californium,6.281878
99,Einsteinium,6.3684
100,Fermium,6.5
101,Mendelevium,6.58
102,Nobelium,6.62621
103,Lawrencium,4.96
104,Rutherfordium,6.02
105,Dubnium,6.8
106,Seaborgium,7.8
107,Bohrium,7.7
108,Hassium,7.6